Serial Number,Attribution,SAP Claim No,Commodity,Decision
S2F44354,,,,RV
R2J30872,PSC - DAMAGED,,,RS
R2J38128,,,,RS
R2L23599,,,,RS
S2B23879,PSC - DNR,,,RS
S2B30826,,,,RS
S2B33022,,,,RS
S2C45544,,,,RS
R2K48552,,,,MTN
R2L22288,,,,MTN
R2M33825,,,,MTN
R2M39442,,,,MTN
S2B27507,,,,MTN
S2B30480,,,,MTN
S2C42069,,,,MTN
S2D10607,,,,MTN
S2D10935,,,,MTN
S2D12673,,,,MTN
S2E24841,,,,MTN
S2F47770,,,,Hold
S2B23900,DESIGN SCRAP,,,SM
R2K48335,,,,RV
R2M35470,,,,RV
S2D16307,,,,RV
S2D18530,,,,RV
S2D21965,,,,RV
S2E30657,,,,RV
S2E34451,,,,RV
S2D16066,,,,MTN
R2J36776,,,,SM
R2J37566,,,,SM
R2M30911,,,,SM
R2K14791,,,,RV
S2C40087,,,,RV
S2E22913,,,,RS
S2D11179,,,,MTN
R2K13563,,,,SM
R2K16005,,,,SM
R2K43309,,,,SM
S2C37421,,,,SM
S2C40875,,,,SM
S2E26359,,,,SM
R2J40537,,,,RV
R2K16317,,,,RV
R2K46134,,,,RV
R2L17102,,,,RV
S2C47213,,,,RV
S2D13923,,,,RV
R2K15921,PSC - DAMAGED,,,RS
S2A21244,PSC - DAMAGED,,,RS
S2E32277,,,,RS
R2J36061,,,,MTN
R2M37880,,,,MTN
S2A12574,,,,MTN
S2A13811,,,,MTN
S2A20258,,,,MTN
S2B25122,,,,MTN
S2B33484,,,,MTN
S2C46735,,,,MTN
S2D12217,,,,MTN
S2E30216,,,,MTN
S2D19178,,,,MTN
R2G18134,,,,RV
R2G18381,,,PDT,RV
R2H29724,,,,RV
R2K12464,,,,RV
R2K12628,,,PDT,RV
R2L17409,,,,RV
R2L18185,,,,RV
R2L19435,,,,RV
R2L22949,,,,RV
R2L25974,,,,RV
R2L25985,,,,RV
R2M35239,,,,RV
S2A11860,,,,RV
S2A11903,,,,RV
S2A22080,,,,RV
S2A22101,,,,RV
S2A22929,,,,RV
S2B24688,,,,RV
S2B27895,,,,RV
S2C44356,,,,RV
S2C47031,,,,RV
S2C48101,,,,RV
S2D16021,,,,RV
S2D21710,,,,RV
S2E28497,,,,RV
S2E30146,,,,RV
S2E35230,,,,RV
R2J40950,,,,RS
R2M36167,,,,RS
S2C42474,,,,RS
R2J31927,,,,MTN
S2B25863,,,,MTN
S2C39338,,,,MTN
S2C43676,,,,MTN
R2J36670,,,,SM
R2J37757,,,,SM
R2J38970,,,,SM
R2K13629,,,,SM
R2K44748,,,,SM
R2K47291,,,BODY,SM
R2L19271,,,,SM
R2L21510,,,,SM
R2M30911,,,,SM
R2M30911,,,,SM
R2M30911,,,,SM
R2M32372,,,,SM
S2A14615,,,,SM
S2A18241,,,,SM
S2A21850,,,,SM
S2B23516,,,,SM
S2B33346,,,,SM
S2C35591,,,,SM
S2C36809,,,,SM
S2C45606,,,,SM
S2C47320,,,,SM
R2J35036,,,,RV
R2J36450,,,,RV
R2J38970,,,,RV
R2K44459,,,,RV
R2L25842,,,,RV
R2L26128,,,,RV
R2L26128,,,,RV
R2M34592,,,,RV
R2M36413,,,ELC,RV
S2A21059,,,,RV
S2A21059,,,,RV
S2B29304,,,PDT,RV
S2B33346,,,,RV
S2C41200,,,,RV
S2D12410,,,,RV
S2D12734,,,,RV
S2D17724,,,,RV
S2E28573,,,,RV
S2F42068,,,,RV
S2C43177,,,,RS
R2K45925,,,,PSC
R2M35925,,,,PSC
R2J36330,,,,MTN
R2J40838,,,PDT,MTN
R2J41366,,,,MTN
R2K43223,,,,MTN
S2B33001,,,,MTN
S2D11282,,,,MTN
S2A12999,CQS,,,CQS
R2J39209,,,,SM
R2J41483,,,,SM
R2J41863,,,,SM
R2K12541,,,,SM
R2K44852,,,,SM
R2L18226,,,,SM
R2M30911,,,,SM
R2M36710,,,HVAC,SM
R2M37688,,,,SM
S2B33027,,,,SM
S2B33472,,,,SM
R2J30629,,,,RV
R2J30632,,,,RV
R2J33790,,,,RV
R2J36298,,,,RV
R2J36450,,,,RV
R2J36450,,,,RV
R2J40003,,,,RV
R2K11728,,,,RV
R2K13561,,,,RV
