TDATE,BOMPARTNO,VINNumber,ScanValue
2024-12-01,2402AW500281A,MA1UN2YZ7R2M28354,022:2402AW500281A:DM203B:291124:01:SIN-291124-885573NSK01
2024-12-01,2401AW500701A,MA1UN2YZ7R2M28354,021:2401AW500701A:DM203B:301124:1:SIN-301124-133298NSK01
2024-12-01,2401AW500691A,MA1UN2YZ7R2M28354,020:2401AW500691A:DM203B:301124:1:SIN-301124-133301NSK01
2024-12-01,2301AW502250N,MA1UN2YY2R2M28398, 019:2301AW502250N:DI061A:281124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28398, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28398,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0664
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28400, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28400, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28400,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0476
2024-12-01,2301AW502190N,MA1UN2KY7R2M28401, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,2301AW502250N,MA1UN2KY7R2M28401, 019:2301AW502250N:DI061A:281124:02:000
2024-12-01,1501BAA05331N,MA1UN2KY7R2M28401,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0667
2024-12-01,2402AW500281A,MA1UN2YY2R2M28367,022:2402AW500281A:DM203B:301124:02:SIN-301124-893193NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2M28367,021:2401AW500821A:DM203B:301124:1:SIN-301124-133080NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2M28367,020:2401AW500811A:DM203B:301124:1:SIN-301124-133211NSK01
2024-12-01,2301AW503170N,MA1UN2KY7R2M28403, 019:2301AW503170N:DI061A:291124:03:000
2024-12-01,2301AW502190N,MA1UN2KY7R2M28403, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05451N,MA1UN2KY7R2M28403,000:1501BAA05451N:DD013IA:270924:01:000000P2:005:0357
2024-12-01,2402AW500281A,MA1UN4KY7R2L28292,022:2402AW500281A:DM203B:301124:01:SIN-301124-891567NSK01
2024-12-01,2401AW500821A,MA1UN4KY7R2L28292,021:2401AW500821A:DM203B:301124:1:SIN-301124-133192NSK01
2024-12-01,2401AW500811A,MA1UN4KY7R2L28292,020:2401AW500811A:DM203B:301124:3:SIN-301124-133097NSK01
2024-12-01,2301AW502250N,MA1UN2YY2R2M28406, 019:2301AW502250N:DI061A:281124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28406, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28406,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0714
2024-12-01,2301AW502250N,MA1UN2YY2R2M28407, 019:2301AW502250N:DI061A:281124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28407, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28407,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0700
2024-12-01,2402AW500281A,MA1UN2YY2R2M28368,022:2402AW500281A:DM203B:301124:01:SIN-301124-892266NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2M28368,021:2401AW500821A:DM203B:301124:3:SIN-301124-133095NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2M28368,020:2401AW500811A:DM203B:301124:3:SIN-291124-132932NSK01
2024-12-01,2301AW502250N,MA1UN2YY2R2M28409, 019:2301AW502250N:DI061A:281124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28409,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0706
2024-12-01,2301AW502190N,MA1UN2YY2R2M28409, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,2402AW500241A,MA1UN2YY2R2M28372,022:2402AW500241A:DM203B:301124:01:0000258-NSK01
2024-12-01,2401AW500631A,MA1UN2YY2R2M28372,021:2401AW500631A:DM203B:301124:2:SIN-301124-133404NSK01
2024-12-01,2401AW500611A,MA1UN2YY2R2M28372,020:2401AW500611A:DM203B:301124:1:SIN-301124-133400NSK01
2024-12-01,2402AW500281A,MA1UN2YZ7R2L27916,022:2402AW500281A:DM203B:291124:02:SIN-291124-887074NSK01
2024-12-01,2401AW500701A,MA1UN2YZ7R2L27916,021:2401AW500701A:DM203B:291124:2:SIN-291124-132785NSK01
2024-12-01,2401AW500691A,MA1UN2YZ7R2L27916,020:2401AW500691A:DM203B:291124:2:SIN-291124-132787NSK01
2024-12-01,2402AW500241A,MA1UN2YY2R2M28373,022:2402AW500241A:DM203B:301124:01:0000264-NSK01
